ID,ESP,ING,POR,FRA,ITA,RUS,JPN,KOR
player_4,Jugador 4,Player 4,Jogador 4,Joueur 4,Giocatore 4,Игрок 4,プレイヤー4,플레이어 4
normal,Normal,Normal,Normal,NORM.,NORMALE,НОРМ.,ノーマル,일반
x,X,X,X,X,X,X,X,X
save,Guarda,Save,Guardar,Sauvegarder,Salva,Сохранить,保存,저장
best,Mejor,Best,Melhor,TOP,MIGLIOR,ЛУЧШИЙ,最高,최고
clicks,Clicks,Clicks,Cliques,Clics,Clic,Клики,クリック,클릭
cps,CPS,CPS,CPS,CPS,CPS,CPS,CPS,CPS
player,Jugador,Player,Jogador,Joueur,Gicatore,Игрок,プレイヤー,플레이어
max,MAX,MAX,MAX,MAX,MAX,МАКС,最大,최대
maximum,MÁXIMO,MAXIMUM,MÁXIMO,MAXIMUM,MAX,МАКСИМУМ,最大,최대
sec2,seg,sec,seg,sec,sec,сек,秒,초
AUDIO,AUDIO,AUDIO,ÁUDIO,AUDIO,AUDIO,АУДИО,オーディオ,오디오
Volumen Musica,Volumen Música,Music Volume,Volume da Música,Volume de la musique,Volume musica,Громкость музыки,音楽の音量,음악 볼륨
Volumen Efectos,Volumen de Efectos,Effects Volume,Volume dos Efeitos,Volume des effets,Volume effetti,Громкость эффектов,効果音の音量,효과음 볼륨
PANTALLA,PANTALLA,DISPLAY,TELA,ÉCRAN,SCHERMO,ЭКРАН,画面,화면
Vibracion,Vibración,Vibration,Vibração,Vibration,Vibrazione,Вибрация,振動,진동
Confeti,Confeti,Confetti,Confetes,Confettis,Coriandoli,Конфетти,紙吹雪,색종이
Temas,Temas,Themes,Temas,Thèmes,Temi,Темы,テーマ,테마
coming_soon,Próximamente\n...,Coming Soon\n...,Em breve\n...,Bientôt\n...,Prossimamente\n...,Скоро\n...,近日公開\n...,출시 예정\n...
DATOS,DATOS,DATA,DADOS,DONNÉES,DATI,ДАННЫЕ,データ,데이터
IDIOMA,IDIOMA,LANGUAGE,IDIOMA,LANGUE,LINGUA,ЯЗЫК,言語,언어
NUMBER,NÚMERO,NUMBER,NÚMERO,NOMBRE,NUMERO,ЧИСЛО,番号,번호
ESP,Español,Spanish,Espanhol,Espagnol,Spagnolo,Испанский,スペイン語,스페인어
ING,Inglés,English,Inglês,Anglais,Inglese,Английский,英語,영어
FRA,Francés,French,Francês,Français,Francese,Французский,フランス語,프랑스어
POR,Portugués,Portuguese,Português,Portugais,Portoghese,Португальский,ポルトガル語,포르투갈어
ITA,Italiano,Italian,Italiano,Italien,Italiano,Итальянский,イタリア語,이탈리아어
JPN,Japonés,Japanese,Japonês,Japonais,Giapponese,Японский,日本語,일본어
RUS,Ruso,Russian,Russo,Russe,Russo,Русский,ロシア語,러시아어
KOR,Coreano,Korean,Coreano,Coréen,Coreano,Корейский,韓国語,한국어
LOADING,CARGANDO\n...,LOADING\n...,CARREGANDO\n...,CHARGEMENT\n...,CARICAMENTO\n...,ЗАГРУЗКА\n...,読み込み中\n...,로딩 중\n...
NEW_RECORD,NUEVO RÉCORD,NEW RECORD,NOVO RECORDE,NOUVEAU RECORD,NUOVO RECORD,НОВЫЙ РЕКОРД,新記録,신기록
DEV_DECLARATION,"Hola.\n\nJajaja, soy Dekeiser, el que creó, programó y diseñó esta app móvil de clicks. Y,\n para ser sincero, estoy feliz de haberla terminado. Me gusta este\n mundo y este pequeño proyecto es solo un paso para crear cosas más\n complejas. A lo mejor un videojuego 3D o 2D, o incluso una experiencia de \n realidad virtual; no lo sé, el tiempo lo dirá.\n\nPor ahora, debo seguir practicando con proyectos pequeños como este :D\n\nEsta app la creé porque las demás apps de clicker no me convencían.\n Algunas no tenían opciones básicas y otras no \n funcionaban como me gustaría. Así que pensé: \n""¿Por qué no hago mi propia versión?""\n\nAdemás, la idea nació porque unos amigos me dijeron que muevo muy \n rápido el dedo de arriba abajo. Quise comprobarlo y competir con ellos \n para ver quién tenía más CPS.\n\nY, sinceramente, he llegado a unos 14–16 CPS en un segundo. Ahora toca seguir \n practicando para intentar llegar a los 18 CPS.\n\nGracias por leer esto. \n Intentaré seguir mejorando como desarrollador y como persona.","Hello.\n\nHaha, I'm Dekeiser, the one who created, coded, and designed this click app. And,\n to be honest, I'm happy I finished it. I like this\n world, and this small project is just one step toward making more\n complex things. Maybe a 2D or 3D game, or even a VR experience;\n I don't know, time will tell.\n\nFor now, I need to keep practicing with small projects like this :D\n\nI made this app because the other clicker apps did not convince me.\n Some had no basic options, and others did not \n work the way I wanted. So I thought: \n""Why not make my own version?""\n\nThe idea also came from some friends who told me that I move my finger very\n fast up and down. I wanted to test it and compete with them\n to see who had more CPS.\n\nAnd, honestly, I've reached about 14–16 CPS in one second. Now I just need to keep\n practicing to try to reach 18 CPS.\n\nThanks for reading this. \n I'll keep trying to improve as a dev and as a person.","Olá.\n\nHaha, sou o Dekeiser, o que criou, programou e desenhou este app de cliques. E,\n para ser sincero, estou feliz por ter terminado. Gosto deste\n mundo, e este pequeno projeto é só um passo para criar coisas mais\n complexas. Talvez um jogo 2D ou 3D, ou até uma experiência de VR;\n não sei, o tempo dirá.\n\nPor agora, preciso continuar praticando com projetos pequenos como este :D\n\nCriei este app porque os outros apps de cliques não me convenciam.\n Alguns não tinham opções básicas e outros não \n funcionavam como eu queria. Então pensei: \n""Por que não fazer minha própria versão?""\n\nA ideia também veio de alguns amigos que disseram que movo meu dedo muito\n rápido para cima e para baixo. Quis testar e competir com eles\n para ver quem tinha mais CPS.\n\nE, sinceramente, já cheguei a cerca de 14–16 CPS em um segundo. Agora só preciso continuar\n praticando para tentar chegar a 18 CPS.\n\nObrigado por ler. \n Vou continuar tentando melhorar como dev e como pessoa.","Salut.\n\nHaha, je suis Dekeiser, celui qui a créé, codé et designé cette app de clics. Et,\n pour être honnête, je suis content de l'avoir finie. J'aime ce\n monde, et ce petit projet est juste une étape pour créer des choses plus\n complexes. Peut-être un jeu 2D ou 3D, ou même une expérience VR;\n je ne sais pas, le temps le dira.\n\nPour l'instant, je dois continuer à pratiquer avec de petits projets comme celui-ci :D\n\nJ'ai créé cette app car les autres apps de clics ne me plaisaient pas.\n Certaines n'avaient pas les options de base et d'autres ne \n marchaient pas comme je voulais. Alors j'ai pensé : \n""Pourquoi ne pas faire ma propre version ?""\n\nL'idée vient aussi de quelques amis qui m'ont dit que je bouge très\n vite mon doigt de haut en bas. J'ai voulu tester ça et rivaliser avec eux\n pour voir qui avait le plus de CPS.\n\nEt, honnêtement, j'ai atteint environ 14–16 CPS en une seconde. Maintenant, il faut continuer\n à m'entraîner pour essayer d'atteindre 18 CPS.\n\nMerci d'avoir lu. \n Je vais continuer à m'améliorer comme dev et comme personne.","Ciao.\n\nHaha, sono Dekeiser, quello che ha creato, programmato e disegnato questa app di click. E,\n per essere sincero, sono felice di averla finita. Mi piace questo\n mondo e questo piccolo progetto è solo un passo per creare cose più\n complesse. Forse un gioco 2D o 3D, o anche un'esperienza VR;\n non lo so, il tempo dirà.\n\nPer ora, devo continuare a fare pratica con piccoli progetti come questo :D\n\nHo creato questa app perché le altre app di click non mi convincevano.\n Alcune non avevano opzioni base e altre non \n funzionavano come volevo. Quindi ho pensato: \n""Perché non fare la mia versione?""\n\nL'idea è nata anche da alcuni amici che mi hanno detto che muovo il dito molto\n velocemente su e giù. Ho voluto provarlo e competere con loro\n per vedere chi aveva più CPS.\n\nE, sinceramente, sono arrivato a circa 14–16 CPS in un secondo. Ora devo continuare\n ad allenarmi per provare ad arrivare a 18 CPS.\n\nGrazie per aver letto. \n Continuerò a migliorare come dev e come persona.","Привет.\n\nХаха, я Dekeiser, тот, кто создал, запрограммировал и оформил это приложение для кликов. И,\n честно говоря, я рад, что закончил его. Мне нравится этот\n мир, и этот маленький проект — лишь шаг к созданию более\n сложных вещей. Может быть, 2D или 3D игра, или даже VR-опыт;\n не знаю, время покажет.\n\nПока я буду продолжать практиковаться на маленьких проектах вроде этого :D\n\nЯ сделал это приложение, потому что другие кликеры мне не нравились.\n В некоторых не было базовых функций, а другие не \n работали так, как я хотел. Поэтому я подумал: \n""Почему бы не сделать свою версию?""\n\nИдея также появилась из-за друзей, которые сказали, что я очень\n быстро двигаю пальцем вверх и вниз. Я решил проверить это и посоревноваться с ними,\n чтобы узнать, у кого больше CPS.\n\nИ, честно говоря, я уже достиг примерно 14–16 CPS за одну секунду. Теперь нужно продолжать\n тренироваться, чтобы попробовать достичь 18 CPS.\n\nСпасибо, что прочитали. \n Я буду стараться становиться лучше как разработчик и как человек.","こんにちは。\n\nハハ、Dekeiserです。このクリックアプリを作って、コードを書いて、デザインもしました。そして、\n 正直、完成してうれしいです。この\n 世界が好きで、この小さな作品はもっと\n 複雑なものを作るための一歩です。2Dや3Dのゲーム、またはVR体験も作るかもしれません。\n まだ分かりません。時間が教えてくれるでしょう。\n\n今は、こういう小さな作品を作りながら、もっと練習していきたいです :D\n\nこのアプリを作ったのは、他のクリックアプリが自分には合わなかったからです。\n 基本的な機能がないものや、自分の好きな形で\n 動かないものがありました。だから思いました。\n""自分で作ってみよう""\n\nそれに、友達から指を上下にとても\n 速く動かすと言われたのもきっかけです。自分のCPSを試して、友達と競争して\n 誰が一番CPSを出せるか見たくなりました。\n\nそして、正直、1秒で14～16 CPSくらい出せました。これからも\n 練習して18 CPSを目指します。\n\n読んでくれてありがとう。 \n これからも開発者として、そして人として成長していきたいです。","안녕하세요.\n\n하하, 저는 Dekeiser입니다. 이 클릭 앱을 만들고, 코딩하고, 디자인했습니다. 그리고,\n 솔직히 완성해서 기쁩니다. 저는 이\n 분야가 좋고, 이 작은 프로젝트는 더\n 복잡한 것을 만들기 위한 한 걸음입니다. 2D나 3D 게임, 아니면 VR 경험도 만들 수 있겠죠.\n 아직은 모릅니다. 시간이 알려주겠죠.\n\n지금은 이런 작은 프로젝트를 만들면서 계속 연습하려고 합니다 :D\n\n이 앱은 다른 클릭 앱들이 마음에 들지 않아서 만들었습니다.\n 기본 기능이 없는 앱도 있었고, 제가 원하는 방식으로\n 작동하지 않는 앱도 있었습니다. 그래서 생각했습니다.\n""그럼 내가 직접 만들면 되잖아?""\n\n친구들이 제가 손가락을 위아래로 아주\n 빠르게 움직인다고 말한 것도 계기였습니다. 제 CPS를 확인하고 친구들과 경쟁해서\n 누가 더 많은 CPS를 내는지 보고 싶었습니다.\n\n그리고 솔직히 1초에 약 14–16 CPS까지 나왔습니다. 이제 계속\n 연습해서 18 CPS를 목표로 할 겁니다.\n\n읽어줘서 고마워요. \n 앞으로도 개발자로서, 그리고 한 사람으로서 계속 성장하겠습니다."
YES,SI,Yes,Sim,Oui,Sì,Да,はい,예
NOT,No,No,Não,Non,No,НЕТ,いいえ,아니요
